Signature	Number_unique	Number_similar	Similar_signatures	Lowest_LD	Lowest_LD_signature
AGER	607	8	AGER BAK1 E2F5 IL12A, -2;AGER CTGF ITGBL1, -3;AGER FBN1, -4;AGER HNF4A RPL10A, -3;AGER KCNK12, -4;AGER MRTO4, -4;AGER QKI, -4;AGER RPH3AL TBXA2R, -3	-4	AGER FBN1
AGER BAK1 E2F5 IL12A	568	47	AGER, -2;AGER CTGF ITGBL1, -2;AGER FBN1, -2;AGER HNF4A RPL10A, -2;AGER KCNK12, -2;AGER MRTO4, -2;AGER QKI, -2;AGER RPH3AL TBXA2R, -2;ARHGEF1 BAK1 TLE1, -2;ATP5B BAG2 E2F5 RARS, -2;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -7;BAK1, -2;BAK1 BDNF GNAI1, -2;BAK1 BDNF HMG20B IGF1 S100P SOX5, 1;BAK1 DDR2, -2;BAK1 E2F5 ERCC2 LAMB3, -7;BAK1 ELN PRKCB, -2;BAK1 EXT1 FXYD1 PAX2, -1;BAK1 FBN1 GADD45G TLE1, -1;BAK1 GADD45G TLE1, -2;BAK1 IL12A SV2A, -7;BAK1 LCN2 MYL1 NOX3 RCVRN, 0;BAK1 MAPT, -2;BAK1 S100P, -2;BAK1 SV2A SYNPO, -2;BMP2K E2F5 ERCC2 IL12A, -7;BMP2K E2F5 SYNPO, -2;C1QA ELN IL12A ITIH4, -1;CFH E2F5, -2;CTGF E2F5 IRAK3, -2;CYP2B6 E2F5, -2;E2F5, -2;E2F5 ERCC2, -2;E2F5 ETS2, -2;E2F5 ITIH4 KIF14 ZNF273, 0;E2F5 MRTO4 TLR4, -1;E2F5 MYL1 RPL10A, -1;E2F5 NHLH1 TRIM32, -1;E2F5 OSBPL9, -2;E2F5 TBC1D9, -2;GNAI1 GPR137B IL12A RCAN2, -1;GPR35 IL12A LAMB3, -1;HNF4A IL12A MAPT, -1;IL12A, -2;IL12A MAPT, -1;IL12A ZNF668, -1	-7	ATP5B BAK1 E2F5 ERCC2 HNF4A
AGER CTGF ITGBL1	584	31	ADAMTS5 CTGF GRTP1, -3;AGER, -3;AGER BAK1 E2F5 IL12A, -2;AGER FBN1, -3;AGER HNF4A RPL10A, -3;AGER KCNK12, -3;AGER MRTO4, -3;AGER QKI, -3;AGER RPH3AL TBXA2R, -3;ARHGAP25 CTGF, -3;ARHGEF1 CTGF, -3;CSF1 CTGF ERCC2 TRIP10, -2;CTGF, -3;CTGF E2F5 IRAK3, -2;CTGF ELK3 FBN1 GRTP1 PALM, 0;CTGF FABP6 IGF1 PRPH2 RFX4, 0;CTGF HNF4A S100P ZNF273, -1;CTGF IRAK3 TGFBI, -2;CTGF MRPS12, -3;CTGF MT1H, -3;CTGF NLGN1 POU6F1, -2;CTGF RPL18, -3;DDR2 FBN1 ITGBL1 TLE1, -2;FBN1 ITGBL1, -3;GADD45B ITGBL1 NOX3 RPH3AL SYK, 0;HR ITGBL1 SYNPO VAMP5 XBP1, 0;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 0;ITGBL1, -3;ITGBL1 LAMA5, -2;ITGBL1 PRKCA, -2;ITGBL1 ZNF668, -2	-3	ADAMTS5 CTGF GRTP1
AGER FBN1	590	25	AGER, -4;AGER BAK1 E2F5 IL12A, -2;AGER CTGF ITGBL1, -3;AGER HNF4A RPL10A, -3;AGER KCNK12, -4;AGER MRTO4, -4;AGER QKI, -4;AGER RPH3AL TBXA2R, -3;ATP5B FBN1 HNF4A, -3;BAK1 FBN1 GADD45G TLE1, -2;BMP2K FBN1 MRPS12, -3;CEACAM7 FBN1 HMGA1 TPM2, -2;CLDN3 FBN1, -4;CTGF ELK3 FBN1 GRTP1 PALM, -1;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DHRS7 ELK3 FBN1 SLC7A2, -2;ELK3 FAM134B FBN1, -3;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 1;FBN1 GNAI1 RPL10A, -2;FBN1 ITGBL1, -3;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 1;FBN1 MRPS12 NOX3 TBXA2R, -1;FBN1 MT1H, -3;FBN1 MT1H VENTX, -2	-4	AGER
AGER HNF4A RPL10A	571	44	ACTN1 F13A1 RPL10A, -3;ACTN1 RPL10A, -3;AGER, -3;AGER BAK1 E2F5 IL12A, -2;AGER CTGF ITGBL1, -3;AGER FBN1, -3;AGER KCNK12, -3;AGER MRTO4, -3;AGER QKI, -3;AGER RPH3AL TBXA2R, -3;ATP5B BAK1 E2F5 ERCC2 HNF4A, 0;ATP5B C1QA ERCC2 HNF4A SYK, -1;ATP5B C1QA HNF4A, -2;ATP5B COL1A1 ERCC2 HNF4A IRAK3, -1;ATP5B FBN1 HNF4A, -2;ATP5B HNF4A, -3;BIRC3 F13A1 RPL10A, -3;BIRC3 RPL10A, -3;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;C1orf21 HNF4A PHLDA1, -3;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;CEACAM1 HNF4A MSC, -3;COL1A1 MSX2 MYL1 RPL10A TAS2R16, -1;CTGF HNF4A S100P ZNF273, -2;E2F5 MYL1 RPL10A, -3;ETS2 HNF4A, -3;F13A1 HNF4A NGF RPL10A, -8;F13A1 IRAK3 MAPT QKI RPL10A, -1;F13A1 LAMB3 MYL1 RPL10A, -2;FAM134B HNF4A NRTN PLXNC1, -2;FARP1 HNF4A HPCAL4 NHLH1, -2;FBN1 GNAI1 RPL10A, -3;HNF4A, -3;HNF4A IL12A MAPT, -2;HNF4A LAMA5, -3;HNF4A MAPT, -3;HNF4A RPL10A, -9;HNF4A RPL10A TLE1, -8;ITIH4 PRKCB REEP1 RPL10A XBP1, -1;ITIH4 RPL10A, -3;MSX2 NMT2 RPL10A TAS2R16, -2;PAX4 RPL10A TUBB6, -2;PRMT1 RPL10A, -3;RPL10A, -3	-9	HNF4A RPL10A
AGER KCNK12	603	12	AGER, -4;AGER BAK1 E2F5 IL12A, -2;AGER CTGF ITGBL1, -3;AGER FBN1, -4;AGER HNF4A RPL10A, -3;AGER MRTO4, -4;AGER QKI, -4;AGER RPH3AL TBXA2R, -3;CPB2 ERCC2 GAA KCNK12 MT1H, -1;GAA GRIK3 KCNK12 MT1H, -2;GTDC1 KCNK12 MT1H PRLR, -2;KCNK12 MT1H PRLR SLC34A1, -1	-4	AGER
AGER MRTO4	593	22	ACTN1 BDNF MRTO4, -3;AGER, -4;AGER BAK1 E2F5 IL12A, -2;AGER CTGF ITGBL1, -3;AGER FBN1, -4;AGER HNF4A RPL10A, -3;AGER KCNK12, -4;AGER QKI, -4;AGER RPH3AL TBXA2R, -3;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;BDNF CFD INS MRTO4, -2;BUB1 MRTO4 OLFML2B, -3;CDH6 MRTO4 PAIP2B, -3;E2F5 MRTO4 TLR4, -3;GRTP1 KIF13B MRTO4 RPL18, -2;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, -1;LAMA5 LILRB5 MRTO4 OSBPL9, -2;LAMB3 MRTO4 PAIP2B, -3;LILRB5 MRTO4 TLE1, -3;MME MRTO4, -4;MRTO4, -4;MRTO4 TLR4, -3	-4	AGER
AGER QKI	598	17	AGER, -4;AGER BAK1 E2F5 IL12A, -2;AGER CTGF ITGBL1, -3;AGER FBN1, -4;AGER HNF4A RPL10A, -3;AGER KCNK12, -4;AGER MRTO4, -4;AGER RPH3AL TBXA2R, -3;BMP2K MRPS12 QKI TLE1, -2;CALCOCO1 QKI, -4;CBR3 LHX2 QKI, -3;ELK3 MRPS12 PDIA3 QKI, -2;F13A1 IRAK3 MAPT QKI RPL10A, -1;KATNA1 QKI TCF4 TUBB6, -2;MSC QKI, -4;QKI, -4;QKI TCF4 TUBB6, -2	-4	AGER
AGER RPH3AL TBXA2R	596	19	AGER, -3;AGER BAK1 E2F5 IL12A, -2;AGER CTGF ITGBL1, -3;AGER FBN1, -3;AGER HNF4A RPL10A, -3;AGER KCNK12, -3;AGER MRTO4, -3;AGER QKI, -3;BIRC3 EVI2A ITIH4 RPH3AL, -1;BIRC3 QPCTL RPH3AL, -2;DLG2 ELN S100P TBXA2R, -2;FBN1 MRPS12 NOX3 TBXA2R, -2;GADD45B ITGBL1 NOX3 RPH3AL SYK, -1;GADD45G MSX2 NOX3 RPH3AL SRGAP3, -1;HTR2A RPH3AL TLR4, -3;MCTP2 MT1H PKNOX1 RPH3AL, -1;RPH3AL, -3;RPH3AL TRIP10, -3;TBXA2R, -3	-3	AGER
ALX1 BMP2K HMGA1	582	33	ADAM28 GZMA HMGA1 OSBPL9, -2;ADAM28 HMGA1, -3;ADRA2A BMP2K FMO4 TLE1, -2;ALX1 CD80 PNLIP TRIM68, -2;ALX1 CLEC4M, -3;ALX1 ERCC2 KATNA1, -3;ALX1 FLI1 GPR35 NPY1R, -2;ALX1 POU6F1 ROBO4, -3;ALX1 SGCA VAMP5, -3;ARHGEF1 BMP2K DAB2 ETS2, -2;ARHGEF1 CLDN3 HMGA1 MYO1A, -2;BMP2K, -3;BMP2K C1QA, -3;BMP2K C1QA MRPS12, -2;BMP2K CBR1 HNF4A PAIP2B TM4SF1, 0;BMP2K DCHS2 MAPT TLE1, -1;BMP2K DCHS2 PRKCA ZIC4, -1;BMP2K DCHS2 ZIC4, -2;BMP2K E2F5 ERCC2 IL12A, -1;BMP2K E2F5 SYNPO, -2;BMP2K FBN1 MRPS12, -2;BMP2K IL10 PHF20, -2;BMP2K KATNA1, -3;BMP2K LAMB3 TLE1, -2;BMP2K MRPS12 QKI TLE1, -1;CEACAM7 FBN1 HMGA1 TPM2, -2;DLGAP1 HMGA1, -3;FLI1 HMGA1 PDIA3 TRIP10, -1;HMGA1, -3;HMGA1 ITGB7 KIF13B PADI3, 0;HMGA1 NGF PDGFC, -1;HMGA1 NGF VEGFC, -1;HMGA1 PDLIM4, -2	-3	ADAM28 HMGA1
ALX1 CD80 PNLIP TRIM68	599	16	ALX1 BMP2K HMGA1, -2;ALX1 CLEC4M, -2;ALX1 ERCC2 KATNA1, -2;ALX1 FLI1 GPR35 NPY1R, -2;ALX1 POU6F1 ROBO4, -2;ALX1 SGCA VAMP5, -2;CALCOCO1 GRTP1 LAMA5 PNLIP, -1;CD80, -2;CD80 DAB2, -2;CD80 DLG2, -2;CD80 HR XBP1, -2;CD80 PNLIP, -8;ETS2 PNLIP TLR4, -2;PDIA3 PNLIP, -2;PNLIP, -2;TRIM68, -2	-8	CD80 PNLIP
ALX1 CLEC4M	606	9	ALX1 BMP2K HMGA1, -3;ALX1 CD80 PNLIP TRIM68, -2;ALX1 ERCC2 KATNA1, -3;ALX1 FLI1 GPR35 NPY1R, -2;ALX1 POU6F1 ROBO4, -3;ALX1 SGCA VAMP5, -3;CLEC4M, -4;CLEC4M GADD45G HOXA3 SLC39A4, -1;CLEC4M RCN3 SRGAP3 TCF4, -1	-4	CLEC4M
ALX1 ERCC2 KATNA1	585	30	ALX1 BMP2K HMGA1, -3;ALX1 CD80 PNLIP TRIM68, -2;ALX1 CLEC4M, -3;ALX1 FLI1 GPR35 NPY1R, -2;ALX1 POU6F1 ROBO4, -3;ALX1 SGCA VAMP5, -3;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;ATP5B C1QA ERCC2 HNF4A SYK, -1;ATP5B COL1A1 ERCC2 HNF4A IRAK3, -1;ATP5B ERCC2, -3;ATP5B ERCC2 ITIH4 PRKCA, -2;BAK1 E2F5 ERCC2 LAMB3, -2;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K KATNA1, -3;CASP1 ERCC2 KATNA1, -9;CD3EAP ERCC2 HOXA3 PTGES3 REEP1, -1;CEACAM1 ERCC2, -3;CPB2 ERCC2 GAA KCNK12 MT1H, -1;CSF1 CTGF ERCC2 TRIP10, -2;E2F5 ERCC2, -3;ELN ERCC2 NGF SYK, -2;ERCC2, -3;ERCC2 F13A1 KATNA1, -8;ERCC2 IGF1R MSX2 PLXNC1, -1;ERCC2 ISG20 ITGB4 KATNA1 TNC, -6;ERCC2 ITIH4 NMT2, -2;ERCC2 KATNA1 MAPT NGF, -7;ERCC2 PTGES3, -3;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, 1;KATNA1 QKI TCF4 TUBB6, 0	-9	CASP1 ERCC2 KATNA1
ALX1 FLI1 GPR35 NPY1R	598	17	ALX1 BMP2K HMGA1, -2;ALX1 CD80 PNLIP TRIM68, -2;ALX1 CLEC4M, -2;ALX1 ERCC2 KATNA1, -2;ALX1 POU6F1 ROBO4, -2;ALX1 SGCA VAMP5, -2;ATP1B3 FLI1 FOXC2 NOX3 SLC22A8, -1;BMI1 NPY1R, -2;CD1D GPR35 ITIH4 OSBPL9, -1;FLI1 GDNF TAS2R16, -2;FLI1 HMGA1 PDIA3 TRIP10, -1;FLI1 RBM4B, -2;FLI1 SIDT1 TRIP10, -2;FLI1 TRIP10, -2;GAA GPR35 MSC SCN5A, -1;GAA GPR35 MSC SCN5A UGT1A1, 0;GPR35 IL12A LAMB3, -1	-2	ALX1 BMP2K HMGA1
ALX1 POU6F1 ROBO4	595	20	ADAM28 F13A1 IRAK3 POU6F1, -1;ALX1 BMP2K HMGA1, -3;ALX1 CD80 PNLIP TRIM68, -2;ALX1 CLEC4M, -3;ALX1 ERCC2 KATNA1, -3;ALX1 FLI1 GPR35 NPY1R, -2;ALX1 SGCA VAMP5, -3;AXL CARD9 POU6F1 SLC1A5, -2;C1orf21 ITGB7 POU6F1 SURF2, -2;CTGF NLGN1 POU6F1, -2;CYP27A1 EDNRA POU6F1, -2;DDR2 MME POU6F1, -2;DDR2 POU6F1 PRLR SYNPO, -2;DDR2 POU6F1 VEGFC, -3;F11R POU6F1, -3;ITGB7 POU6F1 VEGFC, -3;POU6F1, -3;POU6F1 PPA2 RHOH, -2;POU6F1 RBMS2 TAS2R8, -2;POU6F1 SLC1A5 TGFBR3, -2	-3	ALX1 BMP2K HMGA1
ALX1 SGCA VAMP5	605	10	ALX1 BMP2K HMGA1, -3;ALX1 CD80 PNLIP TRIM68, -2;ALX1 CLEC4M, -3;ALX1 ERCC2 KATNA1, -3;ALX1 FLI1 GPR35 NPY1R, -2;ALX1 POU6F1 ROBO4, -3;DDR2 PRKCA VAMP5, -3;GRIK3 LMO3 QPCTL VAMP5, -2;HR ITGBL1 SYNPO VAMP5 XBP1, -1;VAMP5, -3	-3	ALX1 BMP2K HMGA1
ARHGAP25 CRIM1 PAIP2B	608	7	ACTN1 GDNF PAIP2B, -3;ARHGAP25 CTGF, -3;BMI1 PAIP2B, -3;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;CDH6 MRTO4 PAIP2B, -3;FXYD1 HMOX1 PAIP2B PRLR, -2;LAMB3 MRTO4 PAIP2B, -3	-3	ACTN1 GDNF PAIP2B
ARHGAP25 CTGF	600	15	ADAMTS5 CTGF GRTP1, -3;AGER CTGF ITGBL1, -3;ARHGAP25 CRIM1 PAIP2B, -3;ARHGEF1 CTGF, -4;CSF1 CTGF ERCC2 TRIP10, -2;CTGF, -4;CTGF E2F5 IRAK3, -2;CTGF ELK3 FBN1 GRTP1 PALM, 0;CTGF FABP6 IGF1 PRPH2 RFX4, 0;CTGF HNF4A S100P ZNF273, -1;CTGF IRAK3 TGFBI, -2;CTGF MRPS12, -3;CTGF MT1H, -3;CTGF NLGN1 POU6F1, -2;CTGF RPL18, -3	-4	ARHGEF1 CTGF
ARHGEF1 BAK1 TLE1	578	37	ACTN1 TLE1, -3;ADRA2A BMP2K FMO4 TLE1, -2;AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;ARHGEF1 CLDN3 HMGA1 MYO1A, -2;ARHGEF1 CTGF, -3;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;ARHGEF1 TGFBI, -3;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;BAK1, -3;BAK1 BDNF GNAI1, -2;BAK1 BDNF HMG20B IGF1 S100P SOX5, 1;BAK1 DDR2, -3;BAK1 E2F5 ERCC2 LAMB3, -1;BAK1 ELN PRKCB, -2;BAK1 EXT1 FXYD1 PAX2, -1;BAK1 FBN1 GADD45G TLE1, -7;BAK1 GADD45G TLE1, -8;BAK1 IL12A SV2A, -2;BAK1 LCN2 MYL1 NOX3 RCVRN, 0;BAK1 MAPT, -3;BAK1 S100P, -3;BAK1 SV2A SYNPO, -2;BMP2K DCHS2 MAPT TLE1, -2;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;ELK3 FAM134B TLE1, -3;HMG20B SGK1 TLE1, -3;HNF4A RPL10A TLE1, -3;JPH2 PALM PDLIM4 TLE1, -2;LILRB5 MRTO4 TLE1, -3;NGF TLE1, -3;PRKCA TLE1, -3;TLE1, -3	-8	BAK1 GADD45G TLE1
ARHGEF1 BMP2K DAB2 ETS2	577	38	ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ADRA2A BMP2K FMO4 TLE1, -2;ALX1 BMP2K HMGA1, -2;ARHGEF1 BAK1 TLE1, -2;ARHGEF1 CLDN3 HMGA1 MYO1A, -2;ARHGEF1 CTGF, -2;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;ARHGEF1 TGFBI, -2;ATP5B BAK1 BUB1 CFD ETS2, -1;BDNF BUB1 CEACAM8 ETS2, -2;BMP2K, -2;BMP2K C1QA, -2;BMP2K C1QA MRPS12, -2;BMP2K CBR1 HNF4A PAIP2B TM4SF1, 0;BMP2K DCHS2 MAPT TLE1, -1;BMP2K DCHS2 PRKCA ZIC4, -1;BMP2K DCHS2 ZIC4, -2;BMP2K E2F5 ERCC2 IL12A, -1;BMP2K E2F5 SYNPO, -2;BMP2K FBN1 MRPS12, -2;BMP2K IL10 PHF20, -2;BMP2K KATNA1, -2;BMP2K LAMB3 TLE1, -2;BMP2K MRPS12 QKI TLE1, -1;BUB1 CFD ETS2 GATA3, -1;BUB1 ETS2 F13A1, -1;C1QA DAB2 IRAK3, -2;CD80 DAB2, -2;CPB2 DAB2, -2;CYP27A1 ETS2 MAPT TNC, 0;DAB2 DDR2 LHX2 SLC1A5, 0;DAB2 GDNF INS, -1;DAB2 GDNF MME, -1;DAB2 JPH2, -2;E2F5 ETS2, -2;ETS2, -2;ETS2 HNF4A, -1;ETS2 PNLIP TLR4, 0	-2	ADRA2A BMP2K FMO4 TLE1
ARHGEF1 CLDN3 HMGA1 MYO1A	598	17	ADAM28 GZMA HMGA1 OSBPL9, -2;ADAM28 HMGA1, -2;ALX1 BMP2K HMGA1, -2;ARHGEF1 BAK1 TLE1, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;ARHGEF1 CTGF, -2;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;ARHGEF1 TGFBI, -2;CEACAM7 FBN1 HMGA1 TPM2, -2;CLDN3 FBN1, -2;DLGAP1 HMGA1, -2;FLI1 HMGA1 PDIA3 TRIP10, -1;HMGA1, -2;HMGA1 ITGB7 KIF13B PADI3, 0;HMGA1 NGF PDGFC, -1;HMGA1 NGF VEGFC, -1;HMGA1 PDLIM4, -2	-2	ADAM28 GZMA HMGA1 OSBPL9
ARHGEF1 CTGF	596	19	ADAMTS5 CTGF GRTP1, -3;AGER CTGF ITGBL1, -3;ARHGAP25 CTGF, -4;ARHGEF1 BAK1 TLE1, -3;ARHGEF1 BMP2K DAB2 ETS2, -2;ARHGEF1 CLDN3 HMGA1 MYO1A, -2;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;ARHGEF1 TGFBI, -4;CSF1 CTGF ERCC2 TRIP10, -2;CTGF, -4;CTGF E2F5 IRAK3, -2;CTGF ELK3 FBN1 GRTP1 PALM, 0;CTGF FABP6 IGF1 PRPH2 RFX4, 0;CTGF HNF4A S100P ZNF273, -1;CTGF IRAK3 TGFBI, -2;CTGF MRPS12, -3;CTGF MT1H, -3;CTGF NLGN1 POU6F1, -2;CTGF RPL18, -3	-4	ARHGAP25 CTGF
ARHGEF1 ITIH4 MRTO4 PRKCA	563	52	ACTN1 BDNF MRTO4, -2;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;AGER MRTO4, -2;ARHGEF1 BAK1 TLE1, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;ARHGEF1 CLDN3 HMGA1 MYO1A, -2;ARHGEF1 CTGF, -2;ARHGEF1 TGFBI, -2;ATM ELN NGF PRKCA, -2;ATP5B DLG2 PRKCA RCVRN, -1;ATP5B ERCC2 ITIH4 PRKCA, -7;ATP5B PRKCA, -2;BDNF CFD INS MRTO4, -1;BIRC3 BSCL2 PRKCA, -2;BIRC3 EVI2A ITIH4 RPH3AL, -1;BMP2K DCHS2 PRKCA ZIC4, -1;BUB1 MRTO4 OLFML2B, -2;C1QA ELN IL12A ITIH4, 0;CD1D GPR35 ITIH4 OSBPL9, -1;CD3EAP GNAI1 PRKCA, -2;CD3EAP GNAI1 PRKCA THBS1, -1;CDH6 MRTO4 PAIP2B, -2;COL16A1 GNAI1 PRKCA, -2;DDR2 PRKCA TAC1, -1;DDR2 PRKCA VAMP5, -1;DLG2 GNAI1 PADI3 PRKCA, -2;E2F5 ITIH4 KIF14 ZNF273, -2;E2F5 MRTO4 TLR4, -2;ELK3 PRKCA TNC, -1;ERCC2 ITIH4 NMT2, -2;GNAI1 PRKCA, -2;GNRH2 HTR2A PRKCA, -2;GRTP1 KIF13B MRTO4 RPL18, -2;ITGB7 PRKCA, -2;ITGBL1 PRKCA, -2;ITIH4, -2;ITIH4 PRKCB REEP1 RPL10A XBP1, 0;ITIH4 RBM4B, -2;ITIH4 RPL10A, -2;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, 0;KIF14 MVK PRKCA, -2;LAMA5 LILRB5 MRTO4 OSBPL9, -2;LAMB3 MRTO4 PAIP2B, -2;LILRB5 MRTO4 TLE1, -2;MME MRTO4, -2;MRTO4, -2;MRTO4 TLR4, -2;MT1H PRKCA, -2;NGF PRKCA SH3TC1 TGFBI, 0;PRKCA, -2;PRKCA TGFBI, -1;PRKCA TLE1, -1	-7	ATP5B ERCC2 ITIH4 PRKCA
ARHGEF1 TGFBI	606	9	ARHGEF1 BAK1 TLE1, -3;ARHGEF1 BMP2K DAB2 ETS2, -2;ARHGEF1 CLDN3 HMGA1 MYO1A, -2;ARHGEF1 CTGF, -4;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;CTGF IRAK3 TGFBI, -3;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, -1;NGF PRKCA SH3TC1 TGFBI, -2;PRKCA TGFBI, -4	-4	ARHGEF1 CTGF
ATM BIRC3 CD40 FARP1	593	22	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ATM CEACAM8 IGF1 S100P, -2;ATM ELN NGF PRKCA, -2;ATM GNAI1 PRKCB, -2;ATM HMG20B NMT2, -2;ATM IGF1 S100P, -2;BIRC3, -2;BIRC3 BSCL2 PRKCA, -2;BIRC3 CFH IGF1R, -2;BIRC3 EVI2A ITIH4 RPH3AL, -1;BIRC3 F13A1 RPL10A, -2;BIRC3 GTDC1 JPH2 PAX2, -1;BIRC3 QPCTL RPH3AL, -2;BIRC3 RPL10A, -2;BSCL2 CD40 GRTP1 PDIA3, -1;CD40, -2;CD40 FRAT1, -2;CD40 TAS2R16, -2;FARP1 HNF4A HPCAL4 NHLH1, 1;FARP1 MRPS12 REEP1, 0;FARP1 NMT2, -1;FARP1 RCN3 REEP1 SCN5A, 1	-2	ATM CEACAM8 IGF1 S100P
ATM CEACAM8 IGF1 S100P	588	27	ACTN1 ADRA2A CEACAM8, -1;ATM BIRC3 CD40 FARP1, -2;ATM ELN NGF PRKCA, -2;ATM GNAI1 PRKCB, -2;ATM HMG20B NMT2, -2;ATM IGF1 S100P, -14;BAK1 BDNF HMG20B IGF1 S100P SOX5, -6;BAK1 S100P, -2;BDNF BUB1 CEACAM8 ETS2, -1;BDNF COL16A1 IGF1 S100P, -8;CALCOCO1 IGF1 LAMA5, -2;CEACAM8 DDR2 LHX2, -2;CEACAM8 GNAI1 LAMB3 SOX2, -1;COL16A1 MYL1 S100P, -2;CPB2 GABBR2 S100P SYT5, -1;CTGF FABP6 IGF1 PRPH2 RFX4, -1;CTGF HNF4A S100P ZNF273, -1;DLG2 ELN S100P TBXA2R, -1;ELN S100P ZNF668, -1;FMO4 S100P, -2;HTR2A LCN2 S100P, -2;IGF1, -2;IGF1 LAMA5 PDLIM4, -1;IGF1 LAMB3, -2;IGF1 MSC PDIA3 PPA2, 0;PPA2 S100P, -2;S100P, -2	-14	ATM IGF1 S100P
ATM ELN NGF PRKCA	558	57	ACTN1 NGF, -2;ADAM28 ELN GRIK3, -2;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;AFF3 ELN, -2;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;ATM BIRC3 CD40 FARP1, -2;ATM CEACAM8 IGF1 S100P, -2;ATM GNAI1 PRKCB, -2;ATM HMG20B NMT2, -2;ATM IGF1 S100P, -2;ATP5B C1QA CPB2 ELN, 0;ATP5B DLG2 PRKCA RCVRN, -1;ATP5B ERCC2 ITIH4 PRKCA, -2;ATP5B PRKCA, -2;BAK1 ELN PRKCB, -2;BIRC3 BSCL2 PRKCA, -2;BMP2K DCHS2 PRKCA ZIC4, -1;C1QA ELN IL12A ITIH4, -2;CARD9 NGF SOX2, -2;CD3EAP GNAI1 PRKCA, -2;CD3EAP GNAI1 PRKCA THBS1, -1;CEACAM1 DDR2 ELN, -1;COL16A1 GNAI1 PRKCA, -2;CPB2 DLG2 ELN MSC, -1;CPB2 ELN, -2;CPB2 ELN MAPT, -2;CPB2 ELN OLFML2B, -2;DDR2 PRKCA TAC1, -1;DDR2 PRKCA VAMP5, -1;DLG2 ELN S100P TBXA2R, -2;DLG2 GNAI1 PADI3 PRKCA, -2;ELK3 PRKCA TNC, -1;ELN, -2;ELN ERCC2 NGF SYK, -7;ELN F13A1 IRAK3 MAPT, -1;ELN HRH4, -2;ELN MPST, -2;ELN PAX4 TGFB2, -2;ELN PRLR, -2;ELN S100P ZNF668, -2;ERCC2 KATNA1 MAPT NGF, -1;F13A1 HNF4A NGF RPL10A, -2;FXYD5 NGF PAX4, -2;GNAI1 PRKCA, -2;GNRH2 HTR2A PRKCA, -2;HMGA1 NGF PDGFC, -2;HMGA1 NGF VEGFC, -2;ITGB7 PRKCA, -2;ITGBL1 PRKCA, -2;KIF14 MVK PRKCA, -2;MT1H PRKCA, -2;NGF, -2;NGF PRKCA SH3TC1 TGFBI, -6;NGF TLE1, -2;PRKCA, -2;PRKCA TGFBI, -1;PRKCA TLE1, -1	-7	ELN ERCC2 NGF SYK
